15,氧,O,0.0,1/2-, 2.8556,122.24 s 16 , ε : 100.00 % ,-13711 14,2754.2 5,1732.2 5,13223.5 5,-7017.5 9,-7453.3 5,-3.718E+4 4,,7463.69 3,-150.37 3,1220.2 4,7296.8 5,5183 1,,,3345.1 4,-10218.7 5,14847.3 5,-3.736E+4 7,36402 10
14,氮,N,0.0,1+, 2.8634,STABLE,99.63 6% 20 ,-5144.36 3,-156.476 4,-1178.474 4,10553.4 3,-20800 21,-20987.5 10,-28323 10,-45194 24,7475.614,-258.401,139.96 14,7550.56,2312.798 11,,,3598.45 23,-11612.110 10,25083.9 13,-2.910E+4 4,30617.3 10
13,碳,C,0.0,1/2-, 3.1250,STABLE,1.07% 8 ,-2220.5 3,-13436.9 10,-14458.9 10,4946.31,-30534 10,-29241.7 19,-22284.4 10,-3.732E+4 5,7469.849,-140.74,1615.0547,17533.4 13,3089.443 20,,,2144.84 4,-10648.36 8,31630.10 24,-19990 10,23667.02 6
12,硼,B,0.0,1+, 13.3693,20.20 ms 2 , β- : 100.00 %  β-3α : 1.58 % ,13369.4 13,-11708.4 23,-12730.4 23,3369.6 13,-3.564E+4 3,-34647.8 15,-5351.3 13,-18471.9 13,6631.22 11,-113.06 11,754.6 11,14096.7 13,953.14 60,,,-54.5 15,-10001.3 13,34261 13,-3968.7 17,14823.8 13
11,铍,Be,0.000,1/2+, 20.1771,13.76 s 7 , β- : 100.00 %  β-α : 3.10 %  β-n ?  ,11509.46 24,-20551.1 7,-21573.1 7,501.64 25,,-3.631E+4 9,55.24 24,-8382.0 9,5952.540 22,-262.916 22,1334.5 10,20164 13,320.04 10,,,-2204 4,-8321 8,3.534E+4 5,9527.77 25,7313.92 25
10,锂,Li,0.0,"(1-,2-)", 33.0526, , n : 100.00 % ,20445 13,-1.614E+4 9,-1.717E+4 9,-26 13,,,13633 13,11968 13,4531.4 13,-1301.2 13,211 9,1.517E+4 5,210 40,,,-2.8E+2 13,-1.12E+4 3,,21002 13,4036 13
9,氦,He,0.0,1/2+, 40.9358, , n : 100.00 % ,1.598E+4 5,,,-1.25E+3 5,,,1.192E+4 5,9.89E+3 5,3349 5,-3327 5,5.3E+2 6,,1.1E3 AP,,,,,,2.959E+4 5,1.28E+3 5
22,硅,Si,0.0,0+, 33.3380,29 ms 2 , ε : 100.00 %  εp : 32.00 % ,,1.51E+4 6,1.41E+4 6,,3.37E+4 5,,,,6058 23,-441 23,,9.E+2 8,,,,,,-1.3E+3 5,,
21,铝,Al,0.0,(5/2+), 26.9900,< 35 ns, p   ,,1.61E+4 6,1.51E+4 6,,2.92E+4 6,1.29E+4 6,,,6.30E+3 3,-3.0E+2 3,,-2.2E+3 6,,,,0 AP,-1.06E+4 12,5.E+2 6,,
20,镁,Mg,0.0,0+, 17.4776,90.8 ms 24 , ε : 100.00 %  εp ≈ 27.00 % ,,10627.1 22,9605.1 22,2.242E+4 5,24519.6 19,8436.7 19,,,6728.02 9,-118.89 9,3.89E+3 3,2741 11,1598 10,1598 10,,-112 14,-8934 21,2417.9 19,,
19,钠,Na,0.0,(5/2+), 12.9293,< 40 ns, p   ,-1.890E+4 5,11177 11,10155 11,2.018E+4 9,14417 11,4767 11,,,6937.9 6,-36.5 6,3.01E+3 5,-323 11,120 10,,,-1272 10,-6062 18,3600 11,,3.84E+4 10
18,氖,Ne,0.0,0+, 5.3176,1.6670 s 17 , ε : 100.00 % ,-1.972E+4 9,4444.5 6,3422.5 6,19254.2 5,6100.4 4,-1162.6 4,-3.79E+4 10,,7341.257 20,84.430 20,3808.6 3,3923.1 4,1887.3 2,1887.3 2,,-1513.7 3,-5115.1 4,4523.3 4,,34812 20
17,氟,F,0.0,5/2+, 1.9517,64.49 s 16 , ε : 100.00 % ,-14548.7 4,2760.47 25,1738.47 25,16800 8,-5918 15,-11021.2 23,-30106 20,-5.441E+4 7,7542.328 15,-7.921 15,3825 4,600.27 25,495.33 10,,,-371.28 23,-5818.7 4,12727.68 25,-3.32E+4 10,30758 14
16,氧,O,0.0,0+, -4.7370,STABLE,99.757% 16 ,-15417 8,-10420.9 23,-11442.9 23,15663.9 5,-18431 4,-21899.1 8,-29375 14,-5.284E+4 4,7976.206,-118.675,5760.42 25,12127.41,6049.4 10,6917.1 6,6129.89 4,1216.04,-7161.92,22334.84,-28724 20,28887.42 3
15,氮,N,0.0,1/2-, 0.1014,STABLE,0.364% 20 ,-2754.2 5,-9771.7 8,-10793.7 8,10833.3,-28857 21,-30851 21,-15977.66 3,-39157 10,7699.46,-98.979,4172.2 12,10207.42,5270.155 14,,,3488.690 5,-10991.180 10,31038.4 10,-16465 14,21386.7 3
14,碳,C,0.0,0+, 3.0198,5700 y 30 , β- : 100.00 % ,156.476 4,-20644 21,-21666 21,8176.43,-3.693E+4 13,-37928 10,-10396.9 3,-30460.8 10,7520.319,-37.0669,3479.2 4,20831.0 10,6093.8 2,7012 4,6728.2 13,2892.44 4,-12012.51 8,36635.8 19,-4987.89 3,13122.74
13,硼,B,0.000,3/2-, 16.5619,17.33 ms 17 , β- : 100.00 %  β-n : 0.26 % ,13436.9 10,-17097 10,-18119 10,4878.8 17,-4.042E+4 7,-3.974E+4 3,8490.6 10,-10230.1 10,6496.42 8,-12.51 8,1955 11,20831.0 10,3482.8 45,,,-149 8,-10817.9 10,38744.3 12,11216.5 10,8248.4 10
